Total games played,Session games played,Wins,Loses
68,68,23,42
165,97,33,57
226,61,16,39
291,65,18,42
344,53,15,34
426,82,25,51
464,38,9,27
527,63,20,40
587,60,20,38
685,98,38,59
758,73,26,46
831,73,23,45
894,63,21,39
956,62,17,39
1005,49,13,32
1045,40,9,30
1108,63,16,37
1154,46,11,32
1209,55,18,37
1263,54,14,35
1357,94,32,55
1391,34,6,26
1489,98,33,58
1541,52,13,35
1629,88,31,52
1671,42,11,30
1744,73,21,43
1860,116,42,63
1922,62,19,38
2004,82,27,49
2062,58,17,38
2141,79,28,46
2282,141,55,76
2338,56,17,36
2397,59,17,39
2436,39,8,29
2473,37,7,25
2518,45,11,31
2573,55,14,35
2626,53,13,34
2687,61,18,39
2757,70,22,42
2870,113,42,67
2917,47,13,33
2981,64,21,42
3080,99,35,59
3210,130,51,76
3250,40,10,30
3314,64,21,42
3361,47,13,34
3430,69,20,42
3577,147,57,81
3648,71,21,42
3785,137,49,74
3852,67,21,42
4005,153,59,82
4052,47,13,33
4110,58,16,37
4145,35,6,26
4171,26,2,22
4300,129,49,72
4368,68,22,43
4423,55,15,36
4518,95,35,58
4578,60,17,38
4666,88,31,54
4701,35,6,27
4879,178,72,97
4935,56,18,37
5002,67,21,42
5074,72,23,44
5138,64,18,39
5209,71,24,44
5281,72,25,44
5327,46,13,32
5434,107,37,63
5483,49,13,34
5572,89,33,51
5607,35,8,26
5667,60,17,36
5752,85,28,50
5822,70,22,42
5922,100,35,60
6001,79,28,46
6143,142,54,80
6179,36,8,26
6281,102,36,61
6392,111,39,63
6464,72,23,43
6496,32,6,24
6675,179,71,100
6802,127,48,70
6901,99,34,55
6972,71,21,46
7042,70,21,44
7136,94,33,55
7175,39,7,27
7257,82,27,52
7298,41,8,30
7373,75,26,44
7417,44,10,30
7464,47,12,32
7574,110,37,64
7612,38,8,28
7683,71,24,44
7745,62,19,39
7806,61,20,39
7860,54,15,36
7912,52,15,35
7966,54,15,35
8068,102,36,57
8112,44,10,31
8161,49,13,34
8229,68,21,43
8471,242,99,133
8505,34,6,27
8577,72,23,45
8720,143,57,79
8752,32,4,25
8828,76,24,48
8915,87,30,53
9021,106,38,60
9122,101,34,58
9165,43,10,32
9223,58,16,39
9269,46,11,31
9305,36,8,26
9365,60,16,38
9436,71,23,43
9479,43,10,31
9589,110,40,62
9655,66,21,40
9708,53,17,36
9808,100,35,59
9878,70,20,43
10004,126,48,73
10047,43,10,29
10100,53,15,33
10156,56,16,36
10207,51,13,35
10265,58,16,36
10342,77,25,47
10395,53,14,35
10477,82,25,51
10522,45,11,30
10576,54,14,35
10681,105,38,63
10760,79,26,48
10808,48,11,34
10888,80,25,48
10957,69,21,42
11036,79,25,50
11087,51,14,33
11142,55,14,36
11308,166,68,91
11358,50,11,33
11434,76,26,49
11491,57,17,38
11548,57,17,38
11617,69,22,45
11758,141,55,77
11831,73,23,46
11899,68,22,44
12017,118,44,68
12093,76,26,46
12141,48,14,33
12302,161,66,91
12415,113,41,66
12461,46,11,31
12634,173,70,95
12730,96,34,57
12797,67,22,44
12959,162,63,90
13039,80,24,47
13085,46,12,32
13228,143,51,79
13286,58,16,37
13366,80,24,48
13438,72,23,46
13515,77,25,46
13587,72,22,43
13696,109,39,63
13788,92,33,52
13833,45,13,31
13920,87,31,53
14013,93,33,55
14057,44,11,30
14114,57,17,36
14155,41,8,29
14230,75,23,45
14295,65,19,41
14413,118,43,70
14450,37,9,27
14560,110,41,62
14649,89,31,53
14691,42,10,31
14781,90,27,53
14829,48,13,33
14867,38,8,29
14907,40,10,28
14947,40,9,30
15000,53,14,35
15189,189,73,106
15238,49,15,33
15371,133,50,73
15431,60,18,39
15534,103,38,62
15595,61,19,41
15666,71,22,45
15778,112,41,65
15859,81,27,49
15907,48,12,32
16014,107,41,59
16057,43,10,30
16103,46,12,31
16250,147,58,84
16310,60,18,41
16364,54,17,35
16454,90,33,52
16526,72,23,44
16650,124,42,69
16717,67,22,42
16769,52,15,35
16814,45,11,33
16863,49,13,31
16943,80,27,50
16991,48,11,32
17103,112,40,65
17144,41,10,31
17261,117,41,63
17345,84,27,50
17415,70,23,43
17517,102,38,57
17651,134,47,74
17693,42,9,31
17761,68,21,43
17859,98,35,60
17953,94,35,55
18019,66,19,40
18122,103,36,62
18205,83,27,51
18255,50,15,34
18352,97,35,56
18376,24,1,21
18496,120,45,67
18588,92,33,56
18637,49,13,33
18695,58,16,37
18756,61,17,39
18792,36,9,27
18858,66,21,42
18906,48,12,33
18955,49,13,35
19047,92,33,54
19111,64,16,40
19171,60,19,39
19234,63,20,39
19293,59,17,38
19422,129,47,73
19468,46,11,31
19524,56,16,37
19578,54,16,38
19681,103,36,62
19720,39,8,29
19825,105,38,60
19863,38,7,27
19894,31,4,24
19991,97,33,57
20047,56,16,39
20142,95,36,58
20366,224,91,120
20447,81,28,49
20551,104,36,60
20665,114,41,65
20733,68,20,42
20901,168,65,91
20943,42,10,30
20985,42,10,30
21094,109,40,65
21176,82,27,49
21245,69,21,43
21280,35,7,27
21347,67,20,42
21425,78,23,46
21493,68,22,44
21528,35,8,26
21631,103,38,59
21713,82,27,48
21817,104,38,61
21957,140,53,77
22050,93,35,55
22134,84,28,51
22233,99,33,57
22325,92,33,53
22410,85,31,52
22484,74,23,46
22535,51,15,35
22601,66,21,42
22644,43,10,31
22699,55,14,35
22763,64,20,39
22851,88,30,54
22886,35,6,27
22928,42,8,27
22997,69,18,39
23077,80,23,49
23133,56,15,36
23190,57,18,38
23265,75,25,43
23337,72,22,47
23399,62,19,38
23471,72,23,46
23530,59,18,39
23559,29,4,24
23604,45,11,31
23666,62,18,40
23760,94,30,54
23832,72,22,44
23925,93,32,54
23998,73,21,42
24062,64,19,41
24111,49,13,32
24145,34,7,27
24196,51,14,34
24323,127,47,70
24378,55,16,37
24419,41,11,29
24487,68,20,43
24571,84,29,50
24613,42,10,30
24689,76,24,45
24733,44,12,31
24791,58,16,37
24871,80,28,47
24974,103,40,60
25077,103,37,58
25170,93,34,56
25269,99,34,59
25429,160,58,86
25659,230,95,126
25715,56,16,36
25760,45,11,31
25840,80,27,48
25942,102,35,62
26025,83,29,48
26141,116,45,67
26202,61,17,37
26370,168,66,88
26427,57,15,37
26532,105,39,63
26584,52,13,35
26616,32,6,25
26665,49,13,33
26732,67,21,42
26879,147,60,82
26961,82,26,50
27049,88,31,51
27156,107,38,64
27238,82,26,47
27335,97,34,57
27370,35,7,27
27451,81,28,49
27523,72,23,47
27637,114,38,63
27678,41,9,30
27761,83,28,50
27873,112,42,62
27907,34,6,27
27980,73,23,44
28010,30,5,23
28054,44,10,31
28143,89,33,55
28189,46,13,31
28221,32,6,25
28351,130,46,73
28409,58,17,39
28517,108,39,63
28572,55,15,36
28628,56,16,36
28688,60,17,39
28818,130,48,75
28961,143,54,80
29031,70,23,41
29143,112,42,67
29217,74,25,46
29255,38,8,28
29374,119,46,67
29521,147,56,77
29613,92,32,55
29715,102,37,61
29779,64,19,41
29840,61,19,39
29911,71,22,45
29971,60,15,37
30031,60,18,41
30096,65,20,41
30132,36,7,28
30198,66,19,41
30260,62,20,39
30301,41,6,27
30445,144,53,78
30482,37,8,29
30529,47,12,32
30584,55,15,38
30645,61,19,39
30724,79,28,46
30804,80,28,46
30830,26,2,22
30935,105,39,61
31024,89,31,54
31081,57,15,36
31131,50,13,33
31209,78,23,47
31312,103,38,57
31390,78,25,49
31446,56,18,37
31493,47,13,33
31553,60,17,38
31644,91,32,52
31677,33,6,26
31776,99,35,58
31862,86,30,51
32019,157,59,83
32129,110,42,63
32199,70,25,45
32314,115,42,64
32389,75,25,46
32467,78,24,48
32555,88,31,50
32625,70,23,46
32673,48,13,31
32732,59,18,38
32783,51,14,32
32836,53,15,35
32900,64,21,42
32974,74,25,46
33012,38,8,27
33070,58,16,38
33115,45,11,31
33177,62,20,40
33318,141,54,78
33378,60,18,36
33424,46,12,32
33491,67,22,44
33554,63,19,40
33602,48,13,34
33656,54,17,35
33766,110,40,65
33841,75,23,46
33947,106,37,59
33999,52,14,35
34056,57,15,38
34145,89,31,54
34231,86,30,51
34298,67,22,41
34466,168,61,90
34509,43,12,31
34561,52,16,35
34601,40,9,29
34667,66,22,42
34709,42,11,30
34756,47,10,32
34835,79,25,47
34944,109,39,62
35089,145,56,81
35153,64,20,42
35221,68,23,44
35268,47,11,32
35339,71,22,44
35418,79,26,48
35471,53,15,37
35549,78,26,47
35631,82,30,51
35687,56,18,36
35791,104,39,60
35871,80,26,47
35938,67,20,42
36017,79,25,50
36220,203,78,109
36291,71,22,43
36379,88,31,53
36422,43,11,29
36530,108,37,63
36582,52,15,33
36659,77,25,46
36794,135,51,77
36824,30,4,25
36886,62,18,40
36945,59,16,37
37019,74,24,44
37097,78,25,47
37190,93,32,54
37287,97,34,57
37356,69,23,45
37404,48,13,31
37502,98,35,58
37560,58,17,38
37631,71,21,43
37720,89,32,52
37815,95,32,57
37970,155,60,86
38026,56,16,38
38071,45,12,31
38128,57,18,39
38201,73,22,48
38249,48,14,32
38351,102,34,58
38427,76,23,46
38485,58,15,36
38537,52,13,33
38603,66,21,40
38692,89,30,53
38730,38,8,29
38845,115,41,67
38922,77,26,48
38978,56,16,39
39053,75,25,48
39157,104,37,58
39231,74,23,46
39290,59,16,39
39384,94,34,57
39479,95,31,54
39518,39,8,29
39596,78,25,48
39676,80,27,49
39721,45,9,30
39807,86,28,49
39928,121,43,70
40053,125,45,70
40130,77,26,48
40190,60,18,40
40223,33,5,25
40404,181,71,98
40527,123,44,68
40634,107,38,61
40697,63,19,40
40790,93,35,58
40939,149,57,84
40982,43,9,30
41069,87,29,50
41115,46,12,31
41169,54,17,35
41231,62,19,39
41289,58,17,37
41385,96,33,60
41464,79,26,47
41536,72,23,44
41612,76,25,49
41690,78,23,48
41765,75,24,46
41793,28,5,23
41845,52,13,35
41886,41,9,29
41967,81,28,49
42014,47,11,32
42062,48,12,33
42171,109,39,64
42289,118,45,66
42396,107,40,61
42507,111,40,61
42573,66,21,42
42624,51,15,35
42666,42,11,30
42711,45,11,32
42757,46,11,30
42848,91,30,54
42916,68,21,44
42984,68,22,43
43184,200,77,107
43392,208,83,114
43431,39,8,30
43499,68,22,44
43571,72,24,44
43682,111,42,63
43888,206,85,107
44003,115,40,65
44072,69,23,44
44131,59,15,37
44242,111,41,64
44277,35,7,27
44347,70,24,44
44432,85,30,50
44537,105,38,60
44600,63,19,41
44627,27,4,22
44718,91,31,54
44747,29,4,24
44803,56,18,38
44864,61,18,39
44902,38,8,28
44956,54,15,35
45100,144,52,78
45191,91,32,51
45281,90,30,52
45339,58,18,38
45408,69,20,43
45432,24,1,21
45582,150,60,84
45670,88,31,52
45849,179,68,96
45889,40,8,28
46024,135,49,76
46110,86,29,50
46302,192,76,100
46366,64,21,41
46404,38,8,28
46480,76,25,44
46547,67,20,42
46603,56,15,37
46642,39,7,28
46685,43,10,31
46722,37,7,28
46786,64,19,41
46973,187,76,104
47037,64,21,40
47114,77,25,47
47199,85,31,49
47256,57,15,37
47306,50,13,34
47371,65,21,42
47420,49,12,31
47488,68,20,42
47571,83,28,50
47626,55,17,37
47698,72,24,46
47776,78,26,47
47839,63,21,40
47903,64,19,38
47967,64,19,38
48066,99,39,57
48114,48,13,33
48258,144,56,83
48340,82,28,50
48420,80,25,46
48489,69,22,43
48588,99,36,58
48645,57,17,38
48704,59,18,39
48788,84,29,53
48870,82,28,52
48986,116,40,67
49068,82,27,49
49127,59,19,38
49180,53,15,37
49269,89,31,53
49330,61,19,39
49395,65,21,41
49508,113,42,69
49573,65,20,42
49675,102,35,57
49811,136,48,74
49873,62,19,40
49940,67,20,42
50040,100,36,58
50102,62,17,40
50188,86,32,52
50235,47,11,32
50307,72,24,44
50350,43,8,27
50411,61,19,40
50476,65,23,41
50514,38,8,28
50571,57,17,35
50655,84,29,51
50728,73,22,46
50801,73,21,43
50893,92,31,53
50939,46,12,32
51004,65,20,41
51083,79,26,48
51149,66,20,42
51270,121,47,71
51346,76,28,46
51415,69,22,42
51605,190,76,101
51657,52,15,36
51707,50,14,34
51794,87,29,53
51832,38,9,28
51893,61,18,38
51985,92,31,52
52082,97,35,56
52159,77,24,44
52221,62,20,40
52328,107,40,63
52486,158,58,88
52559,73,23,44
52616,57,15,35
52749,133,48,74
52806,57,16,39
52884,78,25,46
52948,64,21,41
52988,40,9,31
53028,40,9,29
53102,74,24,45
53154,52,13,35
53244,90,30,54
53305,61,17,37
53354,49,14,34
