Total games played,Session games played,Wins,Loses
87,87,31,52
164,77,25,47
239,75,25,47
268,29,4,23
304,36,7,27
395,91,31,54
497,102,36,60
571,74,23,45
614,43,8,29
667,53,16,37
706,39,9,29
738,32,6,24
812,74,24,46
851,39,8,28
917,66,22,43
952,35,7,27
987,35,6,26
1038,51,14,34
1087,49,13,33
1125,38,8,29
1217,92,32,58
1266,49,13,34
1314,48,14,33
1368,54,15,37
1430,62,18,41
1471,41,9,30
1517,46,11,33
1595,78,26,47
1646,51,14,34
1682,36,7,27
1725,43,10,31
1755,30,5,23
1789,34,7,27
1864,75,24,45
1924,60,18,37
1992,68,20,44
2059,67,20,44
2121,62,17,38
2168,47,13,33
2209,41,9,30
2262,53,15,36
2304,42,10,32
2357,53,13,36
2416,59,19,40
2476,60,18,41
2512,36,7,26
2552,40,9,30
2613,61,19,41
2683,70,22,46
2722,39,10,29
2756,34,7,27
2801,45,12,30
2855,54,14,37
2940,85,29,53
2977,37,8,27
3023,46,13,32
3082,59,18,39
3117,35,7,27
3205,88,30,55
3245,40,9,29
3281,36,7,28
3320,39,8,29
3393,73,22,45
3437,44,10,31
3469,32,5,25
3532,63,20,41
3579,47,13,33
3660,81,27,50
3798,138,53,79
3866,68,21,41
3896,30,6,24
3945,49,15,33
3983,38,7,28
4023,40,8,28
4110,87,29,52
4150,40,8,30
4184,34,6,26
4225,41,9,30
4279,54,14,36
4395,116,44,68
4459,64,19,41
4496,37,7,28
4530,34,7,25
4611,81,26,48
4658,47,11,32
4723,65,20,40
4786,63,20,42
4844,58,19,39
4933,89,30,53
4972,39,9,30
5032,60,19,39
5085,53,16,36
5126,41,11,29
5165,39,8,28
5198,33,7,25
5245,47,12,33
5309,64,20,40
5337,28,3,23
5408,71,20,44
5475,67,20,46
5526,51,12,34
5555,29,4,24
5586,31,5,25
5640,54,14,35
5680,40,9,30
5742,62,17,41
5790,48,11,33
5858,68,19,42
5888,30,5,25
5908,20,0,20
5952,44,10,31
6001,49,14,34
6042,41,10,30
6149,107,39,63
6206,57,16,38
6241,35,7,27
6295,54,15,38
6332,37,8,28
6386,54,16,36
6469,83,27,51
6528,59,17,37
6589,61,20,38
6663,74,25,48
6727,64,18,43
6757,30,5,23
6802,45,11,31
6903,101,34,59
6934,31,4,26
7005,71,22,43
7078,73,24,46
7119,41,9,29
7176,57,15,37
7211,35,8,27
7265,54,17,35
7291,26,3,23
7331,40,8,29
7400,69,22,42
7455,55,14,37
7498,43,10,31
7543,45,12,32
7572,29,3,25
7630,58,18,37
7662,32,7,25
7691,29,4,24
7757,66,19,43
7799,42,8,30
7839,40,9,29
7870,31,5,25
7920,50,12,35
7955,35,7,27
7979,24,2,22
8056,77,24,47
8100,44,10,33
8137,37,8,27
8175,38,8,28
8233,58,17,37
8293,60,19,40
8350,57,15,39
8402,52,15,35
8435,33,6,25
8497,62,19,40
8595,98,34,60
8643,48,13,33
8697,54,16,35
8826,129,48,75
8875,49,13,34
8914,39,9,29
8993,79,27,48
9059,66,20,43
9134,75,22,46
9179,45,10,30
9224,45,11,32
9318,94,30,54
9382,64,18,42
9466,84,29,52
9503,37,8,28
9560,57,17,40
9595,35,7,25
9627,32,5,25
9662,35,6,27
9745,83,27,52
9782,37,8,28
9815,33,6,26
9883,68,22,42
9932,49,13,34
10038,106,42,61
10078,40,9,29
10204,126,44,72
10250,46,10,33
10311,61,18,41
10359,48,12,33
10409,50,14,33
10453,44,10,31
10492,39,8,31
10545,53,14,33
10598,53,16,36
10684,86,27,55
10751,67,20,43
10831,80,28,49
10913,82,28,51
10937,24,1,21
10985,48,12,33
11022,37,8,28
11071,49,12,34
11137,66,20,43
11195,58,17,38
11251,56,17,36
11312,61,19,39
11370,58,17,40
11420,50,13,34
11491,71,24,45
11523,32,4,25
11572,49,13,35
11653,81,28,48
11721,68,23,45
11858,137,51,78
11895,37,8,28
11968,73,24,45
12072,104,36,60
12122,50,14,34
12165,43,10,31
12255,90,32,54
12296,41,9,29
12434,138,55,78
12487,53,12,35
12534,47,11,32
12583,49,13,34
12643,60,19,39
12704,61,18,41
12736,32,6,24
12808,72,23,45
12858,50,13,33
12949,91,31,56
12984,35,7,28
13046,62,18,40
13097,51,15,35
13130,33,5,24
13169,39,9,29
13226,57,16,37
13264,38,8,28
13329,65,20,42
13408,79,27,48
13446,38,8,27
13497,51,14,34
13587,90,32,54
13633,46,10,30
13673,40,10,28
13729,56,16,38
13771,42,10,30
13840,69,22,44
13867,27,3,22
13922,55,14,36
13972,50,15,34
14048,76,26,47
14123,75,25,46
14172,49,12,34
14228,56,16,37
14294,66,22,41
14357,63,20,38
14402,45,10,31
14446,44,9,33
14515,69,20,40
14573,58,16,36
14626,53,14,35
14706,80,26,47
14764,58,19,37
14842,78,27,50
14925,83,30,49
14970,45,11,30
15042,72,24,45
15093,51,13,36
15141,48,12,34
15198,57,18,38
15289,91,30,55
15353,64,20,41
15423,70,22,43
15461,38,8,28
15521,60,17,39
15580,59,16,37
15643,63,20,41
15689,46,9,31
15745,56,18,37
15783,38,9,27
15871,88,30,53
15942,71,23,45
15980,38,7,28
16060,80,28,51
16097,37,8,27
16144,47,13,33
16187,43,11,30
16242,55,14,37
16278,36,7,27
16314,36,7,26
16345,31,5,24
16382,37,8,26
16419,37,7,28
16464,45,10,32
16508,44,8,30
16597,89,29,53
16625,28,4,22
16670,45,11,31
16736,66,21,44
16790,54,14,37
16855,65,22,42
16908,53,14,35
17009,101,38,62
17081,72,24,45
17136,55,13,35
17183,47,12,33
17239,56,16,38
17278,39,9,29
17327,49,14,35
17385,58,17,38
17436,51,13,36
17495,59,16,39
17535,40,9,29
17575,40,8,28
17644,69,23,42
17739,95,31,57
17802,63,20,41
17846,44,11,31
17911,65,23,42
17987,76,26,46
18026,39,9,29
18080,54,14,35
18107,27,3,23
18161,54,13,37
18227,66,21,42
18265,38,8,28
18325,60,17,40
18394,69,21,43
18508,114,41,67
18556,48,12,34
18599,43,11,31
18634,35,7,26
18722,88,29,55
18760,38,9,29
18818,58,17,37
18851,33,6,26
18882,31,4,24
18938,56,14,35
18984,46,11,32
19022,38,9,28
19097,75,25,46
19139,42,9,29
19225,86,27,53
19298,73,23,48
19359,61,18,39
19429,70,23,43
19456,27,3,23
19518,62,19,41
