hash_cards,dealer_points,player_points,action,wins,loses
-6237280373208288692,5,14,hold,651,3389
7976337604082751532,5,17,hold,3911,4071
4646597953227716961,9,14,hold,343,2883
-4556382645093215395,10,9,hit,6104,12259
-30278643621570764,10,12,hold,85,3424
-5228978409882395157,10,18,hit,734,4515
-1350832088306784803,1,19,hold,3795,4854
1839137290888007201,6,12,hit,3215,6173
-676837598988396630,6,17,hit,518,1917
-2652614590380041876,10,11,hold,13947,15222
-3212836268607000217,10,15,hit,5864,22654
-7004530190354309575,10,17,hit,2133,10141
4702762734888400897,10,20,hold,30895,6386
2326882007321205724,10,13,hold,269,5084
-7623200657643754665,4,13,hit,2896,6117
6826853664434687951,6,2,hold,6,207
-7135033189798829921,9,12,hold,31,1632
-4811950766889824743,10,15,hold,2923,16991
-4611426740827365792,10,19,hold,17790,18144
-2833697141376675890,2,13,hold,527,3096
6809130094289942913,6,7,hold,249,1212
8269793802693808161,8,14,hold,380,2938
302936422651787218,10,11,hit,7754,8073
-5049138528404729870,8,14,hit,2180,5882
-3987616978867424246,8,15,hit,2074,5718
3414258097311544419,7,14,hit,2529,6234
-7820327836487636141,7,21,hold,4667,0
-4213615059442275331,10,7,hold,305,3287
2491554659423666123,4,4,hit,435,712
8939036792245282514,4,11,hit,3020,2088
800046082563662407,4,21,hit,0,465
1527445351389680668,6,16,hold,3473,4738
-5411705489316533387,4,14,hit,1563,3747
4314798832027423832,3,19,hold,5472,2153
6956353859273244004,1,14,hit,1306,6788
6460278890751101078,10,17,hold,7528,23419
1219809878653345673,1,11,hit,1750,2789
8233230857426081688,1,16,hit,770,4747
4339689718644208867,3,20,hold,9975,1556
7057674004764523596,2,17,hold,3060,4291
-540434841410014671,10,20,hit,146,2522
-5757576078869553572,1,10,hit,1318,2809
-3359575715342177485,1,11,hold,1373,2874
3173239329809418257,6,18,hit,217,1144
4606785336528745313,1,20,hold,7264,5122
-974185794375563519,10,16,hit,2730,11255
1458722057033209938,1,4,hold,13,580
4696001797611808480,10,21,hit,0,960
1015474573435813681,1,5,hold,28,829
6078625480229904377,7,20,hit,54,885
8122048198842939146,10,5,hold,185,2303
-6808866562261385638,6,9,hold,431,1370
-2987346330411776333,2,16,hit,606,2191
-7005998448746948412,3,14,hold,1387,4305
-4521540338162106453,7,20,hold,12238,1084
-9118571500322563841,9,19,hit,179,1216
-3711016783111650827,2,5,hold,175,853
7533795810762002008,5,17,hit,401,1592
-1998319560612298437,10,13,hit,9767,30807
801387300018904888,4,9,hit,1895,2012
-8832169775498255114,4,16,hit,441,1676
-2369094497579914858,1,8,hold,112,1405
-1430136962665735344,1,14,hold,112,2731
2276883587119854653,10,6,hit,2560,7438
3875370145292826629,10,14,hit,7956,27441
1909660825509576148,6,20,hit,53,861
-3524224593312594057,9,9,hold,290,1422
3055101583834603485,5,20,hold,10797,1475
-8617812997376978044,1,7,hold,52,1285
8978010882046670901,10,12,hit,10527,29483
-3097687857713486567,10,19,hit,278,2605
-1252858597321203589,7,17,hit,1175,3520
5807986342810024397,7,18,hold,6508,2319
3820960388628750407,10,14,hold,1031,9908
8657957542611308283,9,13,hold,148,2209
-4768018467739199127,3,18,hold,4448,3340
-5293800957851529536,5,20,hit,48,807
-4078347484227062811,9,8,hit,1122,2303
-6187833260216519859,9,18,hit,285,1650
2104257761109713307,10,8,hit,4440,10878
-1680569453809132657,2,10,hold,485,1545
164466098782780970,9,16,hold,1656,5551
-4274306741166440494,5,11,hold,118,956
1917397375116783983,5,9,hold,411,1226
-6599734800004904650,10,21,hold,17528,0
-8544959048605935994,10,3,hold,78,1111
-4130762864661913377,4,20,hit,47,926
4841211152080928450,10,16,hold,7271,26608
-5974166407925109846,3,9,hold,393,1333
-3872490886453642948,3,5,hit,487,955
7292214805390284578,3,15,hit,914,2961
4685832608628080258,9,20,hold,11617,890
-928116786140621635,4,16,hold,3592,5389
-6717030736161275634,3,11,hit,2770,1990
-2931294999575291592,3,20,hit,56,906
-2258915056104520594,6,12,hold,44,1507
10922509130487911,10,4,hold,100,1529
-7568746912682514002,8,17,hit,1017,3535
-9054745774299257170,6,14,hit,2407,5701
-8210714837853524820,6,21,hold,4165,0
6184995137666503871,3,8,hit,1097,1643
-3878100989920354582,3,18,hit,169,1072
3321745913167854591,4,10,hit,2512,2019
-289215957731695800,5,19,hit,106,847
-5767188913212572021,3,15,hold,2385,5262
7809037762491806317,2,18,hold,4402,3391
-1355417844505802327,6,15,hold,1034,4217
-8740557830313797998,10,7,hit,3308,9457
3091411135516482932,3,19,hit,129,948
-4792310577614030067,1,12,hit,1627,7312
7943911472670107926,1,16,hold,711,5171
2396562262277794862,5,12,hit,3323,6212
-4966616010930281012,3,7,hit,904,1554
-1212356824036801680,4,10,hold,399,1197
-8623834189662454374,7,6,hit,823,1562
7406955650305868713,7,16,hold,1551,4619
7887231015930035005,2,15,hold,2087,5406
-3281338232990328607,10,18,hold,13195,22177
424040274055281185,4,20,hold,10318,1564
-7175184688973258388,5,13,hold,186,2020
4050506295328295162,10,10,hit,8667,11164
-5985241218303519360,5,13,hit,2934,6100
-6558440537828618704,7,14,hold,301,2361
-8617771010100699951,1,7,hit,371,1900
3150100173354011288,1,17,hold,711,4559
-5510519190434265086,2,7,hold,195,1020
2215262199291231423,6,4,hold,58,581
827418788520786312,10,10,hold,912,3995
-6421023311696417151,9,19,hold,3642,1468
-4871429107026358418,2,20,hit,59,868
1776615227226113193,9,17,hold,1624,4597
6174606802334168732,4,6,hold,238,937
6714682387149016410,6,13,hold,138,1935
1661266468383996262,5,19,hold,6031,1934
-8854393585641549550,1,3,hold,4,409
-1723647834540282466,8,12,hold,35,1585
3241013021457617511,8,13,hit,2533,6436
5540938345328127874,8,18,hit,482,1953
-8991128628422186323,4,15,hold,2592,5382
6379125934974291431,7,9,hit,2041,1825
-719759371824166261,7,11,hold,166,984
-884410444904403952,6,15,hit,1738,4764
821292786088579115,6,18,hold,5544,2881
3885975004153639677,3,16,hold,3195,5344
-8077757243492011515,9,20,hit,34,765
8616707782192830879,9,21,hold,4559,0
7363852601015501852,7,9,hold,433,1245
4104536775614338286,7,19,hold,7890,1549
-6020148816368762741,2,13,hit,2408,5417
-3278222227344630408,5,8,hold,308,1153
