hash_cards,dealer_points,player_points,action,wins,loses
5424635878556158014,5,14,hold,536,2832
544854095724722548,5,17,hold,3012,3125
6540277572719671009,9,14,hold,303,2439
-539619808948289398,10,9,hit,4696,9418
-4596187600320706732,10,12,hold,77,3163
4588757727036831316,10,18,hit,623,3968
-4966202795310431865,1,19,hold,2885,3700
-4660831809860708357,6,12,hit,2449,4815
-5790272199100421985,6,17,hit,432,1665
8759359868316674583,10,11,hold,11093,11947
524097258687369375,10,15,hit,4507,17375
5923930000320837328,10,17,hit,1726,8315
6844820901069525819,10,20,hold,24185,4967
-5435974791978201405,10,13,hold,246,4617
-1202226284253058268,4,13,hit,2206,4684
3800422476835543183,6,2,hold,5,169
-5530943306549697389,9,12,hold,29,1491
-178276779373945694,10,15,hold,2377,13865
-6681182254533626753,10,19,hold,13883,14066
-6682135323603630657,2,13,hold,453,2641
6261429739848967229,6,7,hold,215,1023
-4091961059076801708,8,14,hold,327,2503
7013801344209082781,10,11,hit,6023,6447
4064074570850646331,8,14,hit,1603,4445
1701818300169618540,8,15,hit,1597,4362
3952513128425231647,7,14,hit,1918,4810
7749375711838302304,7,21,hold,3518,0
467687692588814875,10,7,hold,269,2893
-8827211782366955184,4,4,hit,336,547
4888815616835179548,4,11,hit,2303,1641
4147284783966657096,4,21,hit,0,440
-106653505891123142,6,16,hold,2648,3630
1585694381984632485,4,14,hit,1200,2908
57640298354903732,3,19,hold,4281,1651
6885707677126295073,1,14,hit,963,5177
137611046247591919,10,17,hold,5832,18098
3892777832590880828,1,11,hit,1334,2249
-8682344072182199332,1,16,hit,585,3735
7954845421751726369,3,20,hold,7766,1212
3142120369534431987,2,17,hold,2369,3290
8549830948703180288,10,20,hit,130,2315
-3755857653523476550,1,10,hit,986,2137
-3634387476168461970,1,11,hold,1086,2342
4239098038403787787,6,18,hit,196,1025
8991874510975931850,1,20,hold,5625,3976
-5237524487376439284,10,16,hit,2158,9005
3856754449756008998,1,4,hold,11,476
-720067839796003078,10,21,hit,0,884
-4327632520521924139,1,5,hold,22,695
1445064648418428786,7,20,hit,52,807
-6204790067989743236,10,5,hold,164,2011
8470205842910469932,6,9,hold,358,1161
3522040586403637464,2,16,hit,488,1830
-1178366153778957216,3,14,hold,1067,3399
-2279190806552355392,7,20,hold,9415,863
-1303597996760686158,9,19,hit,161,1050
970158725167018055,2,5,hold,141,713
-1476376510860404975,5,17,hit,329,1345
5185039739422764030,10,13,hit,7550,23843
-6558286546132564969,4,9,hit,1427,1583
-4183557648072987499,4,16,hit,359,1427
-1049663210483001334,1,8,hold,93,1179
8181624271775939736,1,14,hold,91,2378
3498104102120672791,10,6,hit,1952,5822
188739405335711478,10,14,hit,6014,20929
-5254988215596975726,6,20,hit,47,778
6980410010178213521,9,9,hold,244,1220
8849374093689574122,5,20,hold,8456,1153
-2880555502646137477,1,7,hold,44,1092
1758573445162595228,10,12,hit,8152,23035
-6869259408891919564,10,19,hit,243,2352
-3966356734555782071,7,17,hit,894,2778
-8789500211689185116,7,18,hold,4995,1797
505207420412463181,10,14,hold,901,8639
-3832495426254732050,9,13,hold,131,1945
-2192317076943665345,3,18,hold,3410,2577
5173831751668158061,5,20,hit,44,750
-5874938377937848228,9,8,hit,847,1733
-4461736618454658686,9,18,hit,247,1414
1326349432526118216,10,8,hit,3422,8353
-4565963662640069662,2,10,hold,421,1294
-6549389140370157767,9,16,hold,1281,4253
1885131247827015578,5,11,hold,101,862
6444937069142428006,5,9,hold,338,1028
-2567330762031211462,10,21,hold,13683,0
1685099556467891136,10,3,hold,67,967
-7041496730911838653,4,20,hit,44,842
-44000653668703523,10,16,hold,5653,20619
1137242429133481838,3,9,hold,331,1162
-1411698812822657943,3,5,hit,365,721
-7080526747454397159,3,15,hit,722,2451
-8612306573947406977,9,20,hold,9055,693
6275065605101613342,4,16,hold,2765,4125
3334673190214267527,3,11,hit,2054,1563
8340448329141830228,3,20,hit,53,831
